state,date,tot_cases,new_cases,tot_deaths,new_deaths,1st_dose,2nd_dose,discharge_variable,patient_variable,discharge_n,mortality_rate,LOS
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Stays Related to Mental Health and Substance Use,Age: 65-79 years,190,0.0,9.3
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Inpatient Stays Related to Mental Health and Substance Use,Age: 80+ years,65,0.0,9.6
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Other Medical Inpatient Stays,Age: 0-17 years,"1,252",0.0,3.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Other Medical Inpatient Stays,Age: 18-44 years,"3,953",1.9,4.2
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Other Medical Inpatient Stays,Age: 45-64 years,"7,177",3.3,4.8
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Other Medical Inpatient Stays,Age: 65-79 years,"8,354",4.3,4.9
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Other Medical Inpatient Stays,Age: 80+ years,"4,705",4.4,4.6
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Surgical Inpatient Stays,Age: 0-17 years,408,0.0,7.5
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Surgical Inpatient Stays,Age: 18-44 years,"1,661",1.0,5.6
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Surgical Inpatient Stays,Age: 45-64 years,"3,863",1.9,6.1
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Surgical Inpatient Stays,Age: 65-79 years,"4,797",2.1,5.7
Arizona,Apr-2021,3414072,18965,68607,327,395460,395460,Surgical Inpatient Stays,Age: 80+ years,"1,508",3.3,5.4
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Admissions Through the ED*,Age: 0-17 years,"1,012",0.0,4.0
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Admissions Through the ED*,Age: 18-44 years,"5,248",1.9,4.7
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Admissions Through the ED*,Age: 45-64 years,"9,811",4.9,5.7
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Admissions Through the ED*,Age: 65-79 years,"11,416",8.1,5.9
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Admissions Through the ED*,Age: 80+ years,"6,681",10.0,5.3
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,All Inpatient Stays,Age: 0-17 years,"7,921",0.3,3.6
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,All Inpatient Stays,Age: 18-44 years,"13,589",1.0,4.0
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,All Inpatient Stays,Age: 45-64 years,"13,562",4.9,5.8
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,All Inpatient Stays,Age: 65-79 years,"15,452",8.1,5.9
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,All Inpatient Stays,Age: 80+ years,"8,071",10.5,5.3
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,COVID-19-Related Inpatient Stays,Age: 0-17 years,131,0.0,4.5
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,COVID-19-Related Inpatient Stays,Age: 18-44 years,"1,739",3.3,5.9
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,COVID-19-Related Inpatient Stays,Age: 45-64 years,"3,719",10.6,7.3
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,COVID-19-Related Inpatient Stays,Age: 65-79 years,"4,302",19.4,7.8
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,COVID-19-Related Inpatient Stays,Age: 80+ years,"2,488",23.8,6.4
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Elective Inpatient Admissions*,Age: 0-17 years,366,0.0,4.7
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Elective Inpatient Admissions*,Age: 18-44 years,729,0.0,3.9
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Elective Inpatient Admissions*,Age: 45-64 years,"1,640",0.9,3.6
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Elective Inpatient Admissions*,Age: 65-79 years,"1,991",2.5,3.9
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Elective Inpatient Admissions*,Age: 80+ years,517,3.7,3.7
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Influenza-Related Inpatient Stays,Age: 18-44 years,0,0.0,0.0
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Influenza-Related Inpatient Stays,Age: 45-64 years,15,0.0,0.0
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Influenza-Related Inpatient Stays,Age: 65-79 years,14,0.0,0.0
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Influenza-Related Inpatient Stays,Age: 80+ years,0,0.0,0.0
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Injury-Related Inpatient Stays,Age: 0-17 years,129,0.0,3.2
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Injury-Related Inpatient Stays,Age: 18-44 years,617,3.1,5.4
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Injury-Related Inpatient Stays,Age: 45-64 years,552,3.3,5.0
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Injury-Related Inpatient Stays,Age: 65-79 years,835,2.3,5.0
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Injury-Related Inpatient Stays,Age: 80+ years,755,2.3,5.1
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Stays Related to Mental Health and Substance Use,Age: 0-17 years,78,0.0,11.9
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Stays Related to Mental Health and Substance Use,Age: 18-44 years,842,0.0,10.7
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Stays Related to Mental Health and Substance Use,Age: 45-64 years,486,0.0,9.7
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Stays Related to Mental Health and Substance Use,Age: 65-79 years,173,0.0,15.0
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Inpatient Stays Related to Mental Health and Substance Use,Age: 80+ years,59,0.0,7.5
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Other Medical Inpatient Stays,Age: 0-17 years,960,0.0,3.9
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Other Medical Inpatient Stays,Age: 18-44 years,"4,240",2.5,4.7
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Other Medical Inpatient Stays,Age: 45-64 years,"8,854",6.2,5.5
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Other Medical Inpatient Stays,Age: 65-79 years,"10,577",10.3,5.8
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Other Medical Inpatient Stays,Age: 80+ years,"5,993",12.9,5.1
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Surgical Inpatient Stays,Age: 0-17 years,387,0.0,6.6
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Surgical Inpatient Stays,Age: 18-44 years,"1,450",1.0,5.6
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Surgical Inpatient Stays,Age: 45-64 years,"3,659",2.5,6.3
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Surgical Inpatient Stays,Age: 65-79 years,"3,867",3.6,5.9
Arizona,Dec-2020,2138627,201639,38248,2194,154050,154050,Surgical Inpatient Stays,Age: 80+ years,"1,264",4.5,5.8
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Admissions Through the ED*,Age: 0-17 years,"1,020",0.0,4.6
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Admissions Through the ED*,Age: 18-44 years,"4,713",1.7,4.7
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Admissions Through the ED*,Age: 45-64 years,"8,238",4.9,6.3
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Admissions Through the ED*,Age: 65-79 years,"9,946",7.0,6.2
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Admissions Through the ED*,Age: 80+ years,"5,695",7.6,5.3
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,All Inpatient Stays,Age: 0-17 years,"7,169",0.4,3.8
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,All Inpatient Stays,Age: 18-44 years,"12,205",1.0,4.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,All Inpatient Stays,Age: 45-64 years,"11,523",4.7,6.3
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,All Inpatient Stays,Age: 65-79 years,"13,838",6.6,6.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,All Inpatient Stays,Age: 80+ years,"6,941",7.6,5.3
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,COVID-19-Related Inpatient Stays,Age: 0-17 years,103,0.0,7.6
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,COVID-19-Related Inpatient Stays,Age: 18-44 years,958,3.7,8.6
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,COVID-19-Related Inpatient Stays,Age: 45-64 years,"1,968",15.9,12.3
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,COVID-19-Related Inpatient Stays,Age: 65-79 years,"2,632",20.3,10.7
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,COVID-19-Related Inpatient Stays,Age: 80+ years,"1,261",21.3,8.2
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Elective Inpatient Admissions*,Age: 0-17 years,378,0.0,5.3
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Elective Inpatient Admissions*,Age: 18-44 years,767,0.0,3.6
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Elective Inpatient Admissions*,Age: 45-64 years,"1,480",0.8,3.7
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Elective Inpatient Admissions*,Age: 65-79 years,"2,107",1.3,3.6
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Elective Inpatient Admissions*,Age: 80+ years,535,2.8,3.8
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Influenza-Related Inpatient Stays,Age: 0-17 years,0,0.0,0.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Influenza-Related Inpatient Stays,Age: 18-44 years,0,0.0,0.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Influenza-Related Inpatient Stays,Age: 45-64 years,0,0.0,0.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Influenza-Related Inpatient Stays,Age: 65-79 years,0,0.0,0.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Influenza-Related Inpatient Stays,Age: 80+ years,0,0.0,0.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Injury-Related Inpatient Stays,Age: 0-17 years,161,0.0,3.3
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Injury-Related Inpatient Stays,Age: 18-44 years,699,2.7,4.7
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Injury-Related Inpatient Stays,Age: 45-64 years,561,0.0,5.4
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Injury-Related Inpatient Stays,Age: 65-79 years,840,2.6,4.4
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Injury-Related Inpatient Stays,Age: 80+ years,652,2.5,4.4
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Stays Related to Mental Health and Substance Use,Age: 0-17 years,83,0.0,9.8
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Stays Related to Mental Health and Substance Use,Age: 18-44 years,798,0.0,9.1
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Stays Related to Mental Health and Substance Use,Age: 45-64 years,473,0.0,8.7
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Stays Related to Mental Health and Substance Use,Age: 65-79 years,182,0.0,9.9
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Inpatient Stays Related to Mental Health and Substance Use,Age: 80+ years,49,0.0,15.8
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Other Medical Inpatient Stays,Age: 0-17 years,"1,039",0.0,4.2
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Other Medical Inpatient Stays,Age: 18-44 years,"3,518",2.1,4.6
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Other Medical Inpatient Stays,Age: 45-64 years,"7,078",6.1,5.8
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Other Medical Inpatient Stays,Age: 65-79 years,"8,787",8.8,6.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Other Medical Inpatient Stays,Age: 80+ years,"4,970",9.3,5.3
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Surgical Inpatient Stays,Age: 0-17 years,347,0.0,8.2
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Surgical Inpatient Stays,Age: 18-44 years,"1,461",2.0,5.8
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Surgical Inpatient Stays,Age: 45-64 years,"3,405",3.0,7.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Surgical Inpatient Stays,Age: 65-79 years,"4,029",3.1,6.0
Arizona,Feb-2021,3169664,73407,58794,3050,197730,197730,Surgical Inpatient Stays,Age: 80+ years,"1,270",3.9,5.7
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Inpatient Admissions Through the ED*,Age: 0-17 years,"1,052",0.0,4.3
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Inpatient Admissions Through the ED*,Age: 18-44 years,"5,382",2.7,4.6
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Inpatient Admissions Through the ED*,Age: 45-64 years,"10,360",6.8,6.4
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Inpatient Admissions Through the ED*,Age: 65-79 years,"12,327",10.6,6.5
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Inpatient Admissions Through the ED*,Age: 80+ years,"7,115",12.0,5.6
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,All Inpatient Stays,Age: 0-17 years,"7,796",0.4,3.9
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,All Inpatient Stays,Age: 18-44 years,"13,294",1.5,3.9
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,All Inpatient Stays,Age: 45-64 years,"13,281",7.1,6.6
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,All Inpatient Stays,Age: 65-79 years,"15,843",10.7,6.4
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,All Inpatient Stays,Age: 80+ years,"8,399",12.4,5.7
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,COVID-19-Related Inpatient Stays,Age: 0-17 years,160,0.0,4.5
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,COVID-19-Related Inpatient Stays,Age: 18-44 years,"2,115",4.5,6.4
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,COVID-19-Related Inpatient Stays,Age: 45-64 years,"4,643",14.0,8.9
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,COVID-19-Related Inpatient Stays,Age: 65-79 years,"5,706",21.0,8.7
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,COVID-19-Related Inpatient Stays,Age: 80+ years,"3,110",24.3,7.0
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Elective Inpatient Admissions*,Age: 0-17 years,297,0.0,6.3
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Elective Inpatient Admissions*,Age: 18-44 years,472,0.0,4.3
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Elective Inpatient Admissions*,Age: 45-64 years,967,2.2,4.5
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Elective Inpatient Admissions*,Age: 65-79 years,"1,503",3.3,4.0
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Elective Inpatient Admissions*,Age: 80+ years,369,4.9,4.5
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Influenza-Related Inpatient Stays,Age: 0-17 years,0,0.0,0.0
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Influenza-Related Inpatient Stays,Age: 18-44 years,0,0.0,0.0
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Influenza-Related Inpatient Stays,Age: 45-64 years,0,0.0,0.0
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Influenza-Related Inpatient Stays,Age: 65-79 years,0,0.0,0.0
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Influenza-Related Inpatient Stays,Age: 80+ years,0,0.0,0.0
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Injury-Related Inpatient Stays,Age: 0-17 years,163,0.0,4.3
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Injury-Related Inpatient Stays,Age: 18-44 years,693,3.0,4.6
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Injury-Related Inpatient Stays,Age: 45-64 years,587,3.4,5.5
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Injury-Related Inpatient Stays,Age: 65-79 years,799,4.8,4.8
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Injury-Related Inpatient Stays,Age: 80+ years,715,3.8,5.0
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Inpatient Stays Related to Mental Health and Substance Use,Age: 0-17 years,65,0.0,10.2
Arizona,Jan-2021,2645514,226072,44288,3925,169650,169650,Inpatient Stays Related to Mental Health and Substance Use,Age: 18-44 years,741,0.0,9.5
